Year,net_capacity
1970,60.79
1971,63.81
1972,66.00
1973,67.24
1974,66.27
1975,65.58
1976,65.37
1977,65.45
1978,66.94
1979,66.54
1980,62.73
1981,62.78
1982,60.09
1983,60.58
1984,61.50
1985,61.16
1986,63.59
1987,63.84
1988,67.25
1989,71.04
1990,69.94
1991,66.96
1992,64.00
1993,66.90
1994,64.92
1995,66.10
1996,69.09
1997,68.29
1998,68.39
1999,70.25
2000,72.19
2001,73.38
2002,70.37
2003,71.47
2004,73.29
2005,73.90
2006,75.00
2007,75.98
2008,76.99
2009,77.88
2010,83.44
2011,81.79
2012,81.88
2013,77.17
2014,75.69
2015,70.57
2016,67.96
2017,70.84
2018,72.16
2019,66.95
2020,64.89
2021,65.36
2022,64.52
