Date,Reducing largest loss cost,Increasing system inertia cost,Voltage constraints cost,Thermal constraints cost,Reducing largest loss volume,Increasing system inertia volume,Voltage constraints volume,Thermal constraints volume
2023-04-01,0,0,1866622,0,0,0,14497,0
2023-04-02,0,0,742832,0,0,0,9121,0
2023-04-03,0,0,304446,606083,0,0,5444,-4884
2023-04-04,0,0,67058,6069825,0,0,1275,-37604
2023-04-05,0,0,0,9683044,0,0,0,-40979
2023-04-06,0,0,20281,3326110,0,0,130,-15599
2023-04-07,0,0,72411,0,0,0,1030,0
2023-04-08,0,0,158353,6493,0,0,2040,-69
2023-04-09,0,636073,515699,13669817,0,17766,15225,-80545
2023-04-10,0,995654,1360098,11416522,0,15535,23863,-59696
2023-04-11,0,580380,564103,14757869,0,8563,12166,-67249
2023-04-12,0,716,510088,16839983,0,70,10828,-83530
2023-04-13,0,0,209830,3391506,0,0,5306,-11733
2023-04-14,0,0,117,346642,0,0,240,752
2023-04-15,0,0,48794,137518,0,0,2160,-639
2023-04-16,0,0,88506,1043443,0,0,1920,-6558
2023-04-17,0,0,0,999243,0,0,0,-8698
2023-04-18,0,45229,36720,930996,0,1060,337,-14432
2023-04-19,0,177701,208507,2384842,0,4486,5140,-10502
2023-04-20,0,78405,548067,310426,0,1692,8150,-2126
2023-04-21,0,0,23751,3039924,0,0,1204,-16651
2023-04-22,0,14727,19517,192952,0,598,461,-740
2023-04-23,0,467541,435021,4656695,0,9677,5379,-31638
2023-04-24,0,275879,443083,3225933,0,6435,6179,-37758
2023-04-25,0,67985,25508,550158,0,3076,1680,-8776
2023-04-26,0,0,0,97864,0,0,0,-692
2023-04-27,0,0,2480,1400807,0,0,621,-11828
2023-04-28,0,0,152672,395668,0,0,4021,-2126
2023-04-29,0,0,0,79528,0,0,0,-686
2023-04-30,0,0,59864,0,0,0,2510,0
2023-05-01,0,42262,172899,455229,0,1543,6615,-3965
2023-05-02,0,0,0,100316,0,0,0,-687
2023-05-03,0,12957,98607,0,0,238,1531,0
2023-05-04,0,115526,507911,14167495,0,4557,16189,-59289
2023-05-05,0,174992,74343,5699808,0,6992,5929,-30454
2023-05-06,0,0,95868,544247,0,0,2526,-4076
2023-05-07,0,11844,374783,308539,0,623,8354,-3527
2023-05-08,0,63366,580905,1998097,0,2144,15193,-11354
2023-05-09,0,0,87424,293061,0,0,3001,-1997
2023-05-10,0,0,212698,193866,0,0,3077,-3463
2023-05-11,0,0,77915,220712,0,0,1750,-3637
2023-05-12,0,0,89906,206253,0,0,2447,2400
2023-05-13,0,0,466677,311749,0,0,14893,-3608
2023-05-14,0,0,590677,25212,0,0,13831,-106
2023-05-15,0,0,388703,142687,0,0,6265,4773
2023-05-16,0,0,458347,527680,0,0,7137,-2380
2023-05-17,0,0,207317,428667,0,0,2982,-2801
2023-05-18,0,0,98946,192545,0,0,1920,-777
2023-05-19,0,2391,52064,0,0,174,2224,0
2023-05-20,0,294789,1069389,139693,0,5306,14381,-515
2023-05-21,0,1075378,1775196,0,0,14712,18992,0
2023-05-22,0,0,279231,328886,0,0,6634,-1847
2023-05-23,0,0,664387,587685,0,0,9562,-5651
2023-05-24,0,0,702607,1490436,0,0,8720,-13207
2023-05-25,0,0,409829,0,0,0,6022,0
2023-05-26,0,0,220999,0,0,0,4584,0
2023-05-27,0,0,2860375,2564680,0,0,35097,-13954
2023-05-28,0,566050,1775510,0,0,8964,25052,0
2023-05-29,0,482916,4894905,4776,0,5472,37855,-23
2023-05-30,0,59152,860427,17452,0,880,11325,683
2023-05-31,0,0,399316,28937,0,0,7335,-71
2023-06-01,0,0,792987,0,0,0,8592,0
2023-06-02,0,0,1137557,-525,0,0,11968,261
2023-06-03,0,296609,1698606,2772,0,3968,27782,52
2023-06-04,0,50499,1462151,0,0,3707,31473,0
2023-06-05,0,0,418860,79599,0,0,5966,1212
2023-06-06,0,0,653074,20341,0,0,5764,410
2023-06-07,0,0,286655,77459,0,0,3283,1658
2023-06-08,0,0,187076,49995,0,0,2804,-108
2023-06-09,0,396,93776,61194,0,463,3134,-296
2023-06-10,0,2439383,1570415,754182,0,31062,18144,-1939
