month, installs 
"Jan 
2010",4311
"Feb 
2010",4866
"Mar 
2010",5841
"Apr 
2010",6851
"May 
2010",8315
"Jun 
2010",10176
"Jul 
2010",12435
"Aug 
2010",14668
"Sep 
2010",17459
"Oct 
2010",20845
"Nov 
2010",24729
"Dec 
2010",27771
"Jan 
2011",31818
"Feb 
2011",36380
"Mar 
2011",43319
"Apr 
2011",49559
"May 
2011",56732
"Jun 
2011",66062
"Jul 
2011",76890
"Aug 
2011",90804
"Sep 
2011",107937
"Oct 
2011",128004
"Nov 
2011",183512
"Dec 
2011",227091
"Jan 
2012",235409
"Feb 
2012",277537
"Mar 
2012",303334
"Apr 
2012",308735
"May 
2012",318940
"Jun 
2012",331706
"Jul 
2012",356343
"Aug 
2012",360111
"Sep 
2012",365189
"Oct 
2012",375404
"Nov 
2012",381015
"Dec 
2012",386848
"Jan 
2013",393047
"Feb 
2013",399687
"Mar 
2013",407295
"Apr 
2013",415186
"May 
2013",423251
"Jun 
2013",434788
"Jul 
2013",441225
"Aug 
2013",448642
"Sep 
2013",456563
"Oct 
2013",465137
" Nov 
2013",474878
"Dec 
2013",482955
"Jan 
2014",490782
"Feb 
2014",499369
"Mar 
2014",513818
"Apr 
2014",521757
"May 
2014",530394
"Jun 
2014",539944
"Jul 
2014",550684
"Aug 
2014",560955
"Sep 
2014",573201
"Oct 
2014",586011
"Nov 
2014",598090
"Dec 
2014",610337
"Jan 
2015",618509
"Feb 
2015",628448
"Mar 
2015",644069
"Apr 
2015",654555
"May 
2015",665613
"Jun 
2015",681353
"Jul 
2015",692370
"Aug 
2015",703267
"Sep 
2015",721111
"Oct 
2015",736973
"Nov 
2015",757340
"Dec 
2015",779875
"Jan 
2016",792573
"Feb 
2016",795244
"Mar 
2016",798482
"Apr 
2016",801059
"May 
2016",803786
"Jun 
2016",807016
"Jul 
2016",809444
"Aug 
2016",811727
"Sep 
2016",814301
"Oct 
2016",816395
"Nov 
2016",818942
"Dec 
2016",820809
"Jan 
2017",822600
"Feb 
2017",824557
"Mar 
2017",827121
"Apr 
2017",828911
"May 
2017",831284
"Jun 
2017",833470
"Jul 
2017",835472
"Aug 
2017",837807
"Sep 
2017",840016
"Oct 
2017",842219
"Nov 
2017",844878
"Dec 
2017",846571
"Jan 
2018",848581
"Feb 
2018",850465
"Mar 
2018",852715
"Apr 
2018",854795
"May 
2018",857098
"Jun 
2018",859450
"Jul 
2018",861711
"Aug 
2018",864318
"Sep 
2018",866968
"Oct 
2018",870021
"Nov 
2018",873373
"Dec 
2018",875941
"Jan 
2019",879764
"Feb 
2019",884000
"Mar 
2019",894173
"Apr 
2019",896110
"May 
2019",898591
"Jun 
2019",901224
"Jul 
2019",903860
"Aug 
2019",906610
"Sep 
2019",909609
"Oct 
2019",912697
"Nov 
2019",915876
"Dec 
2019",918027
"Jan 
2020",920713
"Feb 
2020",923255
"Mar 
2020",925931
"Apr 
2020",926319
"May 
2020",927113
"Jun 
2020",928972
"Jul 
2020",931658
"Aug 
2020",934357
"Sep  
2020",937765
"Oct 
2020",941055
"Nov 
2020",944501
"Dec 
2020",946890
"Jan 
2021",949789
"Feb 
2021",952559
"Mar 
2021",956362
"Apr 
2021",960295
"May 
2021",964423
"Jun 
2021",968701
"Jul 
2021",972607
"Aug 
2021",976801
"Sep
2021",981703
"Oct
2021",986271
"Nov
2021",991953
"Dec
2021",996171
"Jan
2022",1001021
"Feb
2022",1007091
"Mar
2022",1015268
"Apr
2022",1023095
"May
2022",1031764
"June
2022",1040676
"Jul
2022",1049070
"Aug
2022",1058326
"Sep
2022",1069222
"Oct
2022",1079431
"Nov
2022",1090835
"Dec
2022",1099420
"Jan
2023",1110852
"Feb
2023",1123044
"Mar
2023",1136936
"Apr
2023",1147858
"May
2023",1156960
"Jun
2023",1169541
"Jul
2023",1180183
"Aug
2023",1190872
"Sep
2023",1201202
"Oct
2023",1210735
"Nov
2023",1221416
"Dec
2023",1228242
"Jan
2024",1237280
"Feb
2024",1246845
